participant_ID;beef_consumption_binary;beef_kg_consumed;beef_number_days;cons_0_season;fish_0_consumption_binary;fish_0_kg_consumed;fish_0_number_days;cons_1_season;fish_1_consumption_binary;fish_1_kg_consumed;fish_1_number_days;taste_beef;taste_fish;town;town_cat;age;lived_rural_area;connection_rural;n_people;ppi;gender;builtupsqkm;builtupstd
355;1;2;7;0;1;0,5;182;1;1;1;30;5;1;Manaus;large_city;72;0;0;9;26,1;female;185,13;1,253469578
356;1;2;7;0;1;2;7;1;1;2;7;3;5;Manaus;large_city;65;0;0;8;2,1;female;185,13;1,253469578
357;1;2;7;0;1;1;7;1;1;1;7;5;5;Manaus;large_city;65;1;0;3;3,4;female;185,13;1,253469578
358;1;2;7;0;1;5;7;1;1;5;7;1;5;Manaus;large_city;76;0;0;2;2,1;female;185,13;1,253469578
359;1;3;7;0;1;4;30;1;1;3;7;1;5;Manaus;large_city;60;0;0;3;54,2;male;185,13;1,253469578
360;1;4;7;0;1;3;30;1;1;2;30;3;3;Manaus;large_city;50;0;0;3;12,4;male;185,13;1,253469578
361;1;20;30;0;1;9;30;1;1;9;30;5;5;Manaus;large_city;36;0;0;4;6,9;female;185,13;1,253469578
362;1;2,5;7;0;1;4;30;1;1;10;7;5;5;Manaus;large_city;49;1;1;2;1,1;female;185,13;1,253469578
363;1;3;7;0;1;2;30;1;1;4;30;5;5;Manaus;large_city;33;0;1;3;17,4;female;185,13;1,253469578
364;1;25;7;0;1;20;7;1;1;20;7;5;5;Manaus;large_city;43;0;0;22;41,1;female;185,13;1,253469578
365;1;10;30;0;1;8;7;1;1;8;7;4;5;Manaus;large_city;60;0;0;2;12,4;female;185,13;1,253469578
366;1;3;7;0;1;7,5;7;1;1;7,5;7;3;4;Manaus;large_city;55;1;1;5;1;male;185,13;1,253469578
367;1;10;365;0;1;3;300;1;1;4;30;4;5;Manaus;large_city;26;1;1;4;68,7;female;185,13;1,253469578
368;1;3;7;0;1;5;7;1;1;2;7;5;3;Manaus;large_city;79;0;0;3;3,4;female;185,13;1,253469578
369;1;20;30;0;1;1;7;1;1;1;7;3;5;Manaus;large_city;55;0;1;3;17,4;male;185,13;1,253469578
370;1;5;7;0;1;NA;30;1;1;2;7;5;5;Manaus;large_city;66;0;0;5;54,2;female;185,13;1,253469578
371;1;3;7;0;1;3;7;1;1;3;7;2;NA;Manaus;large_city;38;0;1;5;68,7;female;185,13;1,253469578
372;1;2;7;0;1;7;7;1;1;7;7;3;5;Manaus;large_city;29;0;1;5;54,2;male;185,13;1,253469578
